300000.0 1063 6247706624 65536 1
300001.9889 1063 3334209536 36864 0
300002.6209 1063 7520374784 4096 1
300003.0415 1063 25742766080 4096 1
300003.6702 1063 2671841280 139264 0
300003.8775 1063 16178589696 24576 1
300005.3388 1063 6247772160 65536 1
300005.6358 1063 6412423168 65536 1
300006.5481 1063 3185868800 86016 0
300006.8935 1063 3102994432 16384 1
300006.9331 1063 2660450304 4096 1
300008.3502 1063 10019897344 65536 1
300008.8195 1063 6317445120 65536 1
300010.3151 1063 3186171904 8192 0
300011.0791 1063 6203179008 65536 1
300011.4725 1063 6247837696 12288 1
300012.9227 1063 25355444224 184320 0
300014.6425 1063 2663612416 163840 0
300015.0034 1063 3186130944 32768 0
300015.5001 1063 6323970048 65536 1
300016.81 1063 13649707008 24576 0
300017.1935 1063 11181539328 16384 1
300017.7977 1063 3186163712 8192 0
300019.4814 1063 3088326656 163840 0
300020.5544 1063 11064877056 32768 1
300020.7055 1063 13648637952 102400 0
300021.4279 1063 3223191552 32768 0
300022.2333 1063 3168337920 4096 1
300024.1269 1063 10050985984 65536 1
300025.1077 1063 26693570560 57344 1
300025.4488 1063 3222028288 147456 0
300026.5233 1063 2684669952 8192 0
300026.732 1063 26891694080 172032 0
300027.574 1063 25811927040 53248 1
300028.1445 1063 14164840448 4096 1
300028.6136 1063 25792897024 4096 1
300029.7783 1063 26830450688 172032 0
300031.4849 1063 10051051520 4096 1
300032.4054 1063 3318153216 12288 0
300033.0289 1063 26692354048 4096 1
300033.7738 1063 6203244544 57344 1
300034.1205 1063 28169084928 57344 1
300034.2181 1063 2684833792 24576 0
300035.6628 1063 2697142272 32768 0
300035.9705 1063 13586190336 40960 1
300036.8898 1063 3318145024 4096 0
300037.5639 1063 2697338880 4096 0
300037.9025 1063 11038789632 8192 1
300039.5814 1063 10019962880 4096 1
300039.8541 1063 13552373760 4096 1
300039.8626 1063 2697371648 4096 0
300041.1025 1063 3318030336 110592 0
300042.3053 1063 26865614848 65536 1
300042.5676 1063 9927225344 4096 1
300042.6528 1063 2522812416 8192 1
300044.4748 1063 25811988480 65536 1
300044.7946 1063 2697199616 122880 0
300046.6188 1063 14069329920 180224 0
300047.4051 1063 28340822016 4096 1
300047.6355 1063 6379188224 4096 1
300048.5516 1063 25811984384 4096 1
300048.9875 1063 7115202560 65536 1
300048.9982 1063 2685005824 4096 0
300049.7487 1063 28093648896 4096 1
300049.7658 1063 10040664064 24576 1
300050.5327 1063 26731913216 172032 0
300051.1536 1063 2684858368 126976 0
300051.1766 1063 3428909056 4096 0
300053.9752 1063 26662502400 172032 0
300054.1208 1063 25387409408 184320 0
300054.9281 1063 3428122624 49152 0
300056.0152 1063 26865680384 65536 1
300056.281 1063 6490816512 65536 1
300056.9679 1063 25399504896 184320 0
300059.2092 1063 6490816512 65536 1
300059.7152 1063 14100471808 180224 0
300060.0788 1063 25307381760 65536 1
300060.7825 1063 26865745920 24576 1
300062.3185 1063 26582892544 8192 1
300063.0493 1063 25661136896 24576 1
300063.8426 1063 28169990144 32768 1
300063.8778 1063 26582925312 28672 1
300064.3825 1063 14116401152 176128 0
300065.1648 1063 3128004608 77824 0
300067.1546 1063 7362969600 65536 1
300068.0022 1063 25812054016 49152 1
300068.4152 1063 8181441536 32768 1
300068.6713 1063 3832377344 163840 0
300068.6832 1063 6282977280 65536 1
300069.5322 1063 6408986624 65536 1
300070.4194 1063 25812107264 16384 1
300070.6894 1063 3128131584 57344 0
300070.7329 1063 25455992832 184320 0
300071.1559 1063 26745188352 172032 0
300072.4808 1063 25370710016 4096 1
300074.4916 1063 26865770496 40960 1
300075.004 1063 14126866432 4096 1
300075.1582 1063 6490816512 65536 1
300076.888 1063 25665011712 16384 0
300078.4945 1063 14135042048 176128 0
