volume,count
19406,10997447
15861,10933307
6370,10905206
15957,10897091
6132,10876754
10429,10831771
5229,10810402
19220,10788058
5735,10779207
5066,10774843
15175,10758069
10799,10757274
19265,10752569
11656,10747118
10635,10741906
15481,10734897
10134,10725426
11034,10706139
10000,10684795
6579,10681212
7116,10675331
4304,10671323
2706,10659334
20832,10599335
17010,10595455
23638,10575768
7732,10575628
13429,10571420
24073,10565656
9193,10530803
20996,10505098
23894,10486426
23128,10479963
4693,10478651
18797,10476638
17173,10476500
8486,10473113
20252,10461117
22839,10460169
11887,10443736
19623,10432140
2024,10431974
1441,10397219
24099,10387157
14067,10364967
11858,10364152
7741,10363158
4019,10335860
12603,10316565
1682,10283408
7312,10258328
17013,10257045
2438,10250987
6676,10227215
7997,10176547
16206,10171198
3304,10171115
19271,10157064
1688,10127448
18610,10114437
9240,10087874
18727,10087143
9118,10048684
16788,10033636
4651,10005388
2693,9999255
1666,9991341
5732,9980890
18427,9974925
25476,9950670
12311,9949573
7758,9906269
2534,9848142
14863,9840788
5034,9826188
16639,9820230
7602,9795568
22284,9787884
6510,9780789
3145,9760086
2878,9734672
18654,9734335
24332,9723009
8069,9711446
8448,9702712
9141,9676960
1780,9676228
4467,9674131
4801,9656111
12132,9649281
6164,9644221
21276,9620076
11439,9618131
21805,9614566
5178,9580993
6357,9579907
18638,9540367
3204,9540350
6065,9504991
15431,9468424
20568,9457277
3566,9453608
12753,9435829
1400,9412377
6383,9405296
1639,9404935
1791,9391700
5393,9363583
9925,9353430
6923,9277725
15421,9250912
7422,9234203
7131,9229317
4642,9207976
23230,9192714
22428,9177618
8933,9167546
7828,9156933
7482,9145006
1268,9099976
1900,9099111
11301,9092222
12525,9091580
19792,9088887
5673,9081294
14714,9042733
16396,9032224
1695,9029667
14585,9023182
12674,8989683
16239,8984541
4937,8980331
7690,8950532
21031,8890669
6669,8866311
12074,8857747
16644,8800525
17998,8795019
2956,8781265
8025,8778410
16072,8764318
15550,8758013
4747,8729695
5764,8714365
16868,8660693
16221,8659578
7807,8612672
21096,8585481
9764,8535916
10860,8501507
3475,8491328
12683,8443646
5778,8416819
5047,8354349
12186,8336665
3397,8331451
25411,8327680
14943,8280093
11633,8277761
4940,8254451
5501,8252002
7956,8237111
4253,8232212
14853,8229575
12999,8195634
6679,8187556
17681,8172887
22828,8148370
9506,8129655
15716,8123944
18605,8122273
2954,8112703
7559,8095945
13912,8090856
6239,8080273
17764,8066118
13379,8056488
9302,8004722
11220,7997410
18128,7973463
6014,7968797
12043,7968208
12804,7966332
1058,7963358
10231,7957748
12771,7939081
15972,7939003
1199,7921783
3254,7915914
7842,7904321
21590,7883232
10286,7877412
21872,7857879
20030,7854689
7629,7846758
9466,7840373
9710,7806825
19140,7785245
9319,7769266
2976,7754796
21361,7753926
9214,7720670
3618,7710474
3210,7702427
11724,7697466
6459,7696425
2946,7686454
6689,7678203
18826,7647424
10533,7639674
3635,7619970
6285,7609460
11502,7600815
16742,7600373
7464,7595320
5913,7585342
8308,7578436
4566,7550513
2892,7543105
5589,7536198
7702,7519561
15335,7518410
11733,7507222
8087,7506599
22201,7504281
6209,7470235
25387,7460937
14851,7452730
9358,7449098
11097,7440764
13620,7440652
18324,7413147
7262,7408555
5490,7379887
16361,7356202
9313,7347951
17983,7342454
14931,7339570
12811,7322074
1844,7306139
15864,7301094
8065,7281286
1994,7275323
4851,7272713
6995,7267252
3622,7262967
23368,7252763
11509,7191319
11426,7188999
18220,7168387
13476,7157701
4424,7157230
13433,7150478
20095,7124072
1746,7123445
5080,7115417
2666,7110092
3223,7106535
18865,7099499
21421,7085921
9675,7084307
11383,7080892
2637,7071149
4350,7040856
7250,7021432
22054,7020947
7498,6995740
9133,6991649
3036,6966374
9539,6961682
9611,6934338
1117,6904761
20320,6895444
18859,6890939
5510,6883891
13203,6868139
4980,6862961
22587,6861872
5085,6853996
22886,6850187
8655,6843217
19105,6839008
18497,6838558
2052,6827038
11156,6824324
12734,6823708
11576,6811253
20419,6806397
14701,6764956
5325,6762022
3308,6753763
13617,6725378
22752,6722489
9220,6722113
7406,6720069
15739,6719336
18961,6716771
10883,6714305
12384,6712555
2974,6694772
2727,6671380
19416,6656744
17393,6638027
13569,6635539
23026,6625678
21442,6617055
15815,6605975
17339,6585558
7636,6572276
17559,6566696
6190,6565055
23692,6551520
1223,6539456
12768,6539423
9810,6522269
12058,6515065
16463,6508583
6700,6507289
15315,6475157
6725,6475063
6458,6460384
12242,6445053
20268,6444332
2339,6442415
23519,6429062
